timestamp,src_ip,dst_ip,src_port,dst_port,protocol,bytes,packets,threat_source,raw_alert,duration,flags,attack_label,confidence_source,src_country,src_country_name,dst_country,dst_country_name,threat_score,severity,attack_description,bytes_per_packet,packets_per_second,campaign_id
2026-05-25 07:45:02,95.12.28.195,197.9.233.22,46408,21,TCP,2165,1217,ids_snort,Tentatives d'authentification répétées depuis 5.143.220.128 sur port 21,369.27,URG,Port Scan,99,RU,Russia,TN,Tunisia,79.8,Haute,Tentatives répétées d'authentification,1.78,3.3,CAMP_1
2026-06-04 17:50:57,95.12.28.195,197.17.3.206,27643,53,UDP,94738,4612,waf_cloudflare,Communication suspecte détectée entre 5.161.76.158 et 197.17.3.206,192.03,ACK,Port Scan,96,RU,Russia,TN,Tunisia,79.4,Haute,Communication avec C&C ou téléchargement malveillant,20.54,24.02,CAMP_1
2026-05-20 09:00:16,95.12.28.195,197.19.106.249,1173,25,TCP,150222,25162,edr_sentinel,Trafic anormal détecté : 25162 paquets en 272.73s depuis 95.3.194.234,272.73,PSH,Port Scan,66,RU,Russia,TN,Tunisia,74.9,Haute,Distribution Denial of Service - Trafic anormalement élevé,5.97,92.26,CAMP_1
2026-05-31 21:34:55,95.12.28.195,197.17.254.172,46515,587,UDP,5507,12,nids_zeek,URL de phishing détectée provenant de 43.147.23.118,41.47,SYN,Port Scan,68,NL,Netherlands,TN,Tunisia,65.2,Haute,Tentative d'hameçonnage détectée,458.92,0.29,CAMP_1
2026-05-09 15:01:04,95.12.28.195,197.14.198.40,5720,1433,UDP,4930,1292,antivirus,Tentatives d'authentification répétées depuis 2.142.46.0 sur port 1433,1186.44,SYN,Port Scan,63,CN,China,TN,Tunisia,74.5,Haute,Tentatives répétées d'authentification,3.82,1.09,CAMP_1
2026-05-30 09:45:00,59.230.65.54,197.18.59.190,35883,53,HTTP,44875,2381,edr_crowdstrike,Communication suspecte détectée entre 59.230.65.54 et 197.18.59.190,28.73,RST,Malware,61,CN,China,TN,Tunisia,99.2,Critique,Communication avec C&C ou téléchargement malveillant,18.85,82.88,
2026-05-13 23:53:42,95.181.31.184,41.224.228.62,62646,53,HTTP,367770,11140,edr_sentinel,Trafic anormal détecté : 11140 paquets en 548.18s depuis 95.181.31.184,548.18,RST,DDoS,97,RU,Russia,TN,Tunisia,99.5,Critique,Distribution Denial of Service - Trafic anormalement élevé,33.01,20.32,
2026-05-28 07:05:00,95.201.201.23,41.226.102.159,15093,302,HTTPS,241,383,firewall,Exploration de ports depuis 1.74.198.46 - 383 ports scannés,69.09,SYN,DDoS,87,CN,China,TN,Tunisia,98.0,Critique,Exploration de ports réseau,0.63,5.54,CAMP_2
2026-05-15 00:17:07,95.201.201.23,197.6.28.205,10289,53,HTTPS,214573,19787,nids_zeek,Trafic anormal détecté : 19787 paquets en 477.11s depuis 115.197.217.196,477.11,SYN-ACK,DDoS,69,NL,Netherlands,TN,Tunisia,95.3,Critique,Distribution Denial of Service - Trafic anormalement élevé,10.84,41.47,CAMP_2
2026-05-26 06:42:08,95.201.201.23,41.225.97.62,43539,443,TCP,76680,16904,siem_qradar,Trafic anormal détecté : 16904 paquets en 554.38s depuis 70.203.41.33,554.38,SYN-ACK,DDoS,61,US,United States,TN,Tunisia,94.2,Critique,Distribution Denial of Service - Trafic anormalement élevé,4.54,30.49,CAMP_2
2026-05-10 17:10:13,95.201.201.23,41.224.240.144,20673,80,HTTPS,4973,50,siem_splunk,URL de phishing détectée provenant de 182.11.178.171,16.63,RST,DDoS,72,IN,India,TN,Tunisia,95.8,Critique,Tentative d'hameçonnage détectée,99.46,3.01,CAMP_2
2026-05-11 05:39:54,95.201.201.23,197.5.227.167,43410,3306,TCP,14668,138,edr_sentinel,Trafic régulier entre 195.91.128.124 et 197.5.227.167,9.45,SYN,DDoS,25,FR,France,TN,Tunisia,88.8,Critique,Trafic réseau normal,106.29,14.6,CAMP_2
2026-05-30 10:55:44,95.201.201.23,41.227.12.64,32415,80,UDP,49390,3712,nids_zeek,Communication suspecte détectée entre 95.106.204.142 et 41.227.12.64,273.22,RST,DDoS,76,RU,Russia,TN,Tunisia,96.4,Critique,Communication avec C&C ou téléchargement malveillant,13.31,13.59,CAMP_2
2026-06-05 21:08:37,95.201.201.23,41.224.109.77,12784,722,ICMP,200,238,siem_qradar,Exploration de ports depuis 121.143.141.212 - 238 ports scannés,19.62,SYN,DDoS,88,BR,Brazil,TN,Tunisia,98.2,Critique,Exploration de ports réseau,0.84,12.13,CAMP_2
2026-06-01 12:10:49,95.201.201.23,41.225.101.49,3741,80,HTTPS,159147,19894,ids_snort,Trafic anormal détecté : 19894 paquets en 508.33s depuis 60.166.82.209,508.33,PSH,DDoS,84,US,United States,TN,Tunisia,97.6,Critique,Distribution Denial of Service - Trafic anormalement élevé,8.0,39.14,CAMP_2
2026-05-09 21:36:12,95.189.24.14,41.227.65.237,14264,443,TCP,264483,40376,hids_ossec,Trafic anormal détecté : 40376 paquets en 513.39s depuis 5.198.85.74,513.39,ACK,DDoS,63,RU,Russia,TN,Tunisia,99.5,Critique,Distribution Denial of Service - Trafic anormalement élevé,6.55,78.65,CAMP_3
2026-05-28 07:40:56,95.189.24.14,197.15.234.72,47947,21,DNS,998,1856,nids_zeek,Tentatives d'authentification répétées depuis 157.46.219.44 sur port 21,1234.75,SYN,DDoS,61,IN,India,TN,Tunisia,94.2,Critique,Tentatives répétées d'authentification,0.54,1.5,CAMP_3
2026-05-26 10:42:53,95.189.24.14,197.5.63.153,6834,3389,TCP,2543,1612,edr_sentinel,Tentatives d'authentification répétées depuis 99.191.239.230 sur port 3389,461.68,URG,DDoS,64,BR,Brazil,TN,Tunisia,94.6,Critique,Tentatives répétées d'authentification,1.58,3.49,CAMP_3
2026-06-04 13:51:00,95.189.24.14,197.23.99.170,58882,53,TCP,7964,118,firewall,Trafic régulier entre 62.137.242.124 et 197.23.99.170,0.85,SYN-ACK,DDoS,13,US,United States,TN,Tunisia,87.0,Critique,Trafic réseau normal,67.49,138.82,CAMP_3
2026-06-03 19:50:15,95.189.24.14,41.224.114.58,48623,587,TCP,41869,21,siem_qradar,URL de phishing détectée provenant de 143.108.191.219,51.18,SYN,DDoS,98,IN,India,TN,Tunisia,99.7,Critique,Tentative d'hameçonnage détectée,1993.76,0.41,CAMP_3
2026-05-07 21:57:15,95.189.24.14,41.227.132.20,64535,372,HTTP,406,367,xdr,Exploration de ports depuis 15.116.9.88 - 367 ports scannés,94.26,URG,DDoS,93,US,United States,TN,Tunisia,99.0,Critique,Exploration de ports réseau,1.11,3.89,CAMP_3
2026-05-22 21:19:01,95.189.24.14,197.18.49.248,63430,22,DNS,7496,87,hids_ossec,Trafic régulier entre 11.102.204.99 et 197.18.49.248,2.87,URG,DDoS,23,US,United States,TN,Tunisia,88.5,Critique,Trafic réseau normal,86.16,30.31,CAMP_3
2026-05-18 16:03:51,95.189.24.14,197.21.75.110,41054,819,HTTPS,1275,463,nids_zeek,Exploration de ports depuis 211.65.16.64 - 463 ports scannés,16.04,PSH,DDoS,91,NL,Netherlands,TN,Tunisia,98.7,Critique,Exploration de ports réseau,2.75,28.87,CAMP_3
2026-05-23 09:20:47,95.189.24.14,41.224.232.188,5667,3389,DNS,2532,1775,waf_cloudflare,Tentatives d'authentification répétées depuis 97.4.17.28 sur port 3389,945.46,RST-ACK,DDoS,89,BR,Brazil,TN,Tunisia,98.3,Critique,Tentatives répétées d'authentification,1.43,1.88,CAMP_3
2026-05-19 20:02:45,95.189.24.14,41.227.32.92,48424,80,TCP,91423,1219,antivirus,Communication suspecte détectée entre 208.139.9.122 et 41.227.32.92,109.94,ACK,DDoS,76,IN,India,TN,Tunisia,96.4,Critique,Communication avec C&C ou téléchargement malveillant,75.0,11.09,CAMP_3
2026-05-15 04:55:10,95.189.24.14,197.19.162.177,42838,3306,TCP,4515,106,hids_ossec,Trafic régulier entre 53.181.52.44 et 197.19.162.177,7.55,RST,DDoS,34,GB,United Kingdom,TN,Tunisia,90.1,Critique,Trafic réseau normal,42.59,14.04,CAMP_3
2026-05-30 05:44:20,95.189.24.14,41.224.101.111,33793,53,TCP,331932,39995,nids_zeek,Trafic anormal détecté : 39995 paquets en 257.1s depuis 131.70.19.124,257.1,RST-ACK,DDoS,77,IN,India,TN,Tunisia,100.0,Critique,Distribution Denial of Service - Trafic anormalement élevé,8.3,155.56,CAMP_3
2026-05-24 19:46:30,95.189.24.14,197.10.18.32,55433,22,TCP,732,281,siem_qradar,Tentatives d'authentification répétées depuis 57.146.138.192 sur port 22,1422.04,PSH,DDoS,63,US,United States,TN,Tunisia,94.5,Critique,Tentatives répétées d'authentification,2.6,0.2,CAMP_3
